,topic,title,date,search_date,link,tags
286,Mercado,Ibovespa abre em recuperação após 2ª pior queda do ano; frigoríficos são destaque,29/09/2021 10:49,2022-05-03 16:30:14,https://www.suno.com.br/noticias/ibovespa-abre-recuperacao-frigorificos-apos-2a-pior-queda/,"['AMBEV (ABEV3)', 'Engie (EGIE3)', 'Especialistas', 'Ibovespa', 'Vale (VALE3)']"
290,Negócios,BR Malls (BRML3) recusa proposta de fusão e Suzano (SUZB3) anuncia dividendos; Veja destaques,14/01/2022 09:56,2022-05-03 16:30:14,https://www.suno.com.br/noticias/destaques-mercado-financeiro-br-malls-brml3-suzano-suzb3/,"['Aliansce Sonae (ALSO3)', 'BTG Pactual (BPAC11/BPAC3/BPAC5)', 'destaques de empresas', 'Suzano (SUZB3)', 'Vale (VALE3)']"
293,Negócios,"Greenwashing, a maquiagem verde: como empresas se promovem com práticas sustentáveis duvidosas",12/10/2021 14:04,2022-05-03 16:30:15,https://www.suno.com.br/noticias/greenwashing-maquiagem-verde-empresas-agenda-esg/,"['ESG', 'Especiais', 'JBS (JBSS3)', 'Vale (VALE3)']"
301,Mercado,Ibovespa vira para alta em dia volátil no exterior; Lojas Americanas (LAME4) dispara 20%,18/10/2021 14:20,2022-05-03 16:30:16,https://www.suno.com.br/noticias/ibovespa-alta-pib-china-lojas-americanas-lame4-18102021/,"['Bolsa de Valores de São Paulo (B3)', 'China', 'Especialistas', 'Ibovespa', 'Lojas Americanas (LAME3/LAME4)', 'Vale (VALE3)']"
302,Mercado,Ibovespa recua mais de 2% com cautela nos EUA e baixa do minério; Banco Inter (BIDI4) tomba 10%,28/09/2021 14:12,2022-05-03 16:30:16,https://www.suno.com.br/noticias/ibovespa-queda-banco-inter-bidi11-eua-petroleo-minerio-28092021/,"['Banco Inter (BIDI11/BIDI4/BIDI3)', 'Bolsa de Valores de São Paulo (B3)', 'Especialistas', 'Ibovespa', 'minério de ferro', 'Vale (VALE3)']"
306,Mercado,"Ibovespa abre em queda de 1,5% com mau humor externo; Banco Inter (BIDI4) cai 6%",06/10/2021 11:04,2022-05-03 16:30:16,https://www.suno.com.br/noticias/ibovespa-queda-banco-inter-bidi4-despenca-06102021/,"['Bolsa de Valores', 'Especialistas', 'Ibovespa', 'Méliuz (CASH3)', 'PetroRio (PRIO3)', 'Vale (VALE3)']"
312,Mercado,Ibovespa abre em queda; Embraer (EMBR3) e bancos são destaques de alta,28/09/2021 10:47,2022-05-03 16:30:16,https://www.suno.com.br/noticias/ibovespa-abre-queda-embraer-embr3-bancos-bbdc4/,"['Bolsas mundiais', 'Bradesco (BBDC3/BBDC4)', 'Braskem (BRKM3/BRKM5/BRKM6)', 'Especialistas', 'Ibovespa', 'Ibovespa futuro', 'JSL (JSL11/JSLG3)', 'Vale (VALE3)']"
320,Negócios,Carteira de Black Friday: Ativa recomenda 5 ações “com desconto”,19/11/2021 19:59,2022-05-03 16:30:17,https://www.suno.com.br/noticias/carteira-black-friday-acoes-baratas/,"['3R Petroleum (RRRP3)', 'americanas S.A (AMER3)', 'B3 (B3SA3)', 'Black Friday', 'Sabesp (SBSP3)', 'Suzano (SUZB3)', 'Vale (VALE3)']"
321,Economia,"Chuvas em Minas Gerais podem gerar perdas de R$ 1,1 bilhão, diz Fiemg",14/01/2022 19:11,2022-05-03 16:30:17,https://www.suno.com.br/noticias/chuvas-em-minas-gerais-podem-gerar-perdas-de-r-11-bilhao-diz-fiemg/,['Vale (VALE3)']
326,Negócios,"Radar: CPFL (CPFE3) pagará dividendos bilionários, Engie (EGIE3) vende complexo termelétrico e JBS (JBSS3) vai emitir debêntures de R$ 1,2 bi",18/10/2021 21:53,2022-05-03 16:30:17,https://www.suno.com.br/noticias/radar-cpfl-cpfe3-engie-egie3-jbs-jbss3/,"['CPFL (CPFE3)', 'Engie (EGIE3)', 'Enjoei (ENJU3)', 'JBS (JBSS3)', 'Locaweb (LWSA3)', 'MRV (MRVE3)', 'Vale (VALE3)']"
344,Mercado,Ibovespa: Telefônica Vivo (VIVT3) e Suzano (SUZB3) lideram altas da semana,20/11/2021 17:46,2022-05-03 16:30:19,https://www.suno.com.br/noticias/ibovespa-telefonica-vivo-vivt3-e-suzano-suzb3-lideram-altas-da-semana/,"['Alpargatas (ALPA3/ALPA4)', 'Ibovespa', 'Localiza (RENT3)', 'Movida (MOVI3)', 'Suzano (SUZB3)', 'Telefônica (VIVT3)', 'Unidas (LCAM3)', 'Vale (VALE3)']"
348,Negócios,"Bradespar (BRAP4) tem alta de 808% no lucro no 4T21, para R$ 2,96 bilhões",29/03/2022 10:24,2022-05-03 16:30:19,https://www.suno.com.br/noticias/bradespar-brap4-alta-lucro-4t21/,"['balanços trimestrais', 'Bradespar (BRAP3/BRAP4)', 'Resultado das empresas', 'Vale (VALE3)']"
353,Negócios,CSN (CSNA3) e CSN Mineração (CMIN3) interrompem atividades em MG,10/01/2022 10:47,2022-05-03 16:30:20,https://www.suno.com.br/noticias/csn-mineracao-cmin3-csn-csna3-interrupcao-atividades/,"['CSN (CSNA3)', 'CSN Mineração (CMIN3)', 'Minas Gerais', 'Usiminas', 'Vale (VALE3)']"
366,Política,Prefeituras de MG pedem que moradores deixem as casas por ‘alto risco’ de rompimento de barragem,10/01/2022 15:44,2022-05-03 16:30:21,https://www.suno.com.br/noticias/mg-prefeituras-chuvas-barragem-minas-gerais/,"['Minas Gerais', 'Vale (VALE3)']"
369,Negócios,"Radar: Arezzo (ARZZ3) pagará proventos de R$ 60 mi, Grupo Soma (SOMA3) vai recomprar ações e Gol (GOLL4) prevê prejuízo por ação",10/01/2022 22:14,2022-05-03 16:30:21,https://www.suno.com.br/noticias/radar-arezzo-arzz3-grupo-soma-soma3-gol-goll4/,"['Arezzo (ARZZ3)', 'CSN Mineração (CMIN3)', 'Gol Linhas Aéreas (GOLL11/GOLL4)', 'Grupo Soma (SOMA3)', 'soma', 'USIM3', 'USIM5', 'Usiminas', 'Vale (VALE3)']"
371,Mercado,"Ibovespa abre em recuperação, commodities sobem e dólar cai: Petrobras (PETR4) avança 3%",25/10/2021 10:51,2022-05-03 16:30:21,https://www.suno.com.br/noticias/ibovespa-recuperacao-petrobras-petr4-25102021/,"['Eletrobras (ELET3/ELET5/ELET6)', 'Especialistas', 'Hypera Pharma (HYPE3)', 'Ibovespa', 'Vale (VALE3)']"
390,Negócios,"Olimpíadas de Inverno: ouro, prata – e ferro – são os metais mais disputados desta edição; saiba por quê",19/02/2022 10:00,2022-05-03 16:30:23,https://www.suno.com.br/noticias/olimpiadas-de-inverno-ferro-metal-disputado/,"['China', 'Especiais', 'minério de ferro', 'Vale (VALE3)']"
400,Negócios,"Radar: lucro da Vibra (VBBR3) cai 67,4%, Mercado Livre (MELI34) pressiona concorrentes, TIM (TIMS3) pagará R$ 195 mi em JCP",22/03/2022 21:54,2022-05-03 16:30:30,https://www.suno.com.br/noticias/radar-vibra-vbbr3-mercado-livre-meli34-tim-tims3/,"['Alibaba (BABA34)', 'Mercado Livre (MELI34)', 'Minerva (BEEF11/BEEF3)', 'Positivo Tecnologia (POSI3)', 'TIM (TIMS3)', 'Vale (VALE3)', 'Vibra Energia (VBBR3)']"
401,Negócios,Ações: Veja as 5 maiores altas e quedas do Ibovespa em fevereiro,27/02/2022 16:06,2022-05-03 16:30:30,https://www.suno.com.br/noticias/acoes-veja-as-5-maiores-altas-e-quedas-do-ibovespa-em-fevereiro/,"['Ações', 'Banco Inter (BIDI11)', 'Carrefour (CRFB3)', 'Especiais', 'Ibovespa', ""Rede D'or (RDOR3)"", 'SulAmérica (SULA11/SULA3/SULA4)', 'Vale (VALE3)']"
402,Negócios,Magazine Luiza (MGLU3) tem corte no preço alvo e Copom eleva Selic; veja as 5 notícias mais lidas,05/02/2022 15:53,2022-05-03 16:30:30,https://www.suno.com.br/noticias/magazine-luiza-mglu3-via-viia3-copom-selic/,"['Copom', 'Fiagro', 'Magazine Luiza (MGLU3)', 'Vale (VALE3)', 'Via Varejo (VVAR3)']"
